,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Row,Col,Treatment,Concentration_uM,Cell_Death,Well,A,incubation_time,drug,Row_New,concentr,normalized_atp_1,plate,B,normalized_atp_2,C,normalized_atp_3,normalized_atp
0,0,0,27,B,3,Stauro,"0,04748",Apoptosis,B03,137144.0,28h,apoptosis,2,0.04748,0.5461789713442005,1,,,,,0.5461789713442005
1,1,1,28,B,4,Stauro,"0,02374",Apoptosis,B04,133408.0,28h,apoptosis,2,0.02374,0.5313002698556779,1,,,,,0.5313002698556779
2,2,2,29,B,5,Stauro,"0,01187",Apoptosis,B05,185160.0,28h,apoptosis,2,0.01187,0.7374037386549331,1,,,,,0.7374037386549331
3,3,3,30,B,6,Stauro,"0,005935",Apoptosis,B06,180408.0,28h,apoptosis,2,0.005935,0.7184787950057204,1,,,,,0.7184787950057204
4,4,4,37,B,13,Stauro,"0,04748",Apoptosis,B13,140360.0,28h,apoptosis,2,0.04748,0.5589867614906374,1,,,,,0.5589867614906374
5,5,5,38,B,14,Stauro,"0,02374",Apoptosis,B14,141104.0,28h,apoptosis,2,0.02374,0.5619497577185445,1,,,,,0.5619497577185445
6,6,6,39,B,15,Stauro,"0,01187",Apoptosis,B15,189032.0,28h,apoptosis,2,0.01187,0.7528240631098473,1,,,,,0.7528240631098473
7,7,7,40,B,16,Stauro,"0,005935",Apoptosis,B16,166936.0,28h,apoptosis,2,0.005935,0.6648262611584571,1,,,,,0.6648262611584571
8,8,8,42,B,18,Stauro,"0,04748",Apoptosis,B18,133952.0,28h,apoptosis,2,0.04748,0.5334667617212444,1,,,,,0.5334667617212444
9,9,9,43,B,19,Stauro,"0,02374",Apoptosis,B19,163352.0,28h,apoptosis,2,0.02374,0.6505529029853135,1,,,,,0.6505529029853135
10,10,10,44,B,20,Stauro,"0,01187",Apoptosis,B20,176112.0,28h,apoptosis,2,0.01187,0.7013698813026442,1,,,,,0.7013698813026442
11,11,11,45,B,21,Stauro,"0,005935",Apoptosis,B21,184800.0,28h,apoptosis,2,0.005935,0.73597003080272,1,,,,,0.73597003080272
12,12,12,46,B,22,Stauro,"0,0029675",Apoptosis,B22,200168.0,28h,apoptosis,2,0.0029675,0.7971734260049723,1,,,,,0.7971734260049723
13,13,13,51,C,3,Vinblastine,"0,00222",Apoptosis,C03,115944.0,28h,apoptosis,3,0.00222,0.4617495089360962,1,,,,,0.4617495089360962
14,14,14,52,C,4,Vinblastine,"0,00111",Apoptosis,C04,166784.0,28h,apoptosis,3,0.00111,0.6642209178430782,1,,,,,0.6642209178430782
15,15,15,61,C,13,Vinblastine,"0,00222",Apoptosis,C13,153728.0,28h,apoptosis,3,0.00222,0.6122251130694836,1,,,,,0.6122251130694836
16,16,16,62,C,14,Vinblastine,"0,00111",Apoptosis,C14,189176.0,28h,apoptosis,3,0.00111,0.7533975462507325,1,,,,,0.7533975462507325
